OBJECTID,STAT_CAUSE_DESCR,STATE,Date_Discovery,Date_Contained,FIRE_YEAR,FIRE_SIZE,LATITUDE,LONGITUDE,Duration
1314478,Debris Burning,WV,11/23/2005,11/23/2005,2005,1,39.51935801,-78.24666126,0
1314479,Children,WV,7/6/2005,7/6/2005,2005,0.1,39.00433886,-80.19019087,0
1314480,Lightning,WV,7/12/2005,7/12/2005,2005,0.1,38.97991661,-80.15435662,0
1314481,Smoking,WV,9/30/2005,9/30/2005,2005,0.1,38.97953391,-80.16377023,0
1314482,Smoking,WV,10/4/2005,10/4/2005,2005,0.1,38.93493559,-80.29893879,0
1314483,Arson,WV,11/4/2005,11/4/2005,2005,1,38.85972352,-80.62204916,0
1314484,Arson,WV,11/12/2005,11/12/2005,2005,30,38.48210803,-80.87938471,0
1314485,Arson,WV,11/12/2005,11/12/2005,2005,0.5,38.52946297,-80.52411912,0
1314486,Arson,WV,11/19/2005,11/19/2005,2005,45,38.36221349,-81.11628393,0
1314487,Debris Burning,WV,11/26/2005,11/26/2005,2005,20,38.32866577,-81.0897098,0
1314488,Equipment Use,WV,11/26/2005,11/26/2005,2005,1,38.48299832,-81.1900287,0
1314489,Powerline,WV,11/28/2005,11/28/2005,2005,0.1,38.75262112,-80.36281299,0
1314490,Powerline,WV,12/23/2005,12/23/2005,2005,0.5,38.36825244,-80.67067166,0
1314491,Equipment Use,WV,9/11/2005,9/11/2005,2005,8,37.28591449,-81.79662622,0
1314492,Equipment Use,WV,9/30/2005,9/30/2005,2005,0.2,37.68212773,-81.12723567,0
1314493,Fireworks,WV,10/4/2005,10/4/2005,2005,2,37.77536561,-81.64546691,0
1314494,Arson,WV,10/19/2005,10/19/2005,2005,0.1,37.27024147,-81.26206777,0
1314495,Equipment Use,WV,10/31/2005,10/31/2005,2005,0.1,37.96009573,-81.18087558,0
1314496,Equipment Use,WV,10/31/2005,10/31/2005,2005,7,37.49763461,-81.70146609,0
1314497,Arson,WV,10/31/2005,10/31/2005,2005,0.1,37.42335772,-81.27505518,0
1314498,Structure,WV,10/31/2005,11/1/2005,2005,10,37.46801534,-81.63802015,1
1314499,Arson,WV,11/1/2005,11/1/2005,2005,0.1,37.29550253,-81.25196705,0
1314500,Arson,WV,11/1/2005,11/1/2005,2005,0.1,37.27408315,-81.25717448,0
1314501,Debris Burning,WV,11/3/2005,11/3/2005,2005,7,37.37615534,-81.20215529,0
1314502,Debris Burning,WV,11/13/2005,11/13/2005,2005,2,37.37615534,-81.20215529,0
1314503,Arson,WV,11/4/2005,11/4/2005,2005,7,37.4392239,-81.28932274,0
1314504,Arson,WV,11/4/2005,11/4/2005,2005,19,37.31034072,-81.7569698,0
1314505,Debris Burning,WV,11/6/2005,11/7/2005,2005,50,37.33337301,-81.85080223,1
1314506,Equipment Use,WV,11/7/2005,11/7/2005,2005,0.5,37.87010835,-81.18752274,0
1314507,Arson,WV,11/7/2005,11/8/2005,2005,118,37.59433644,-81.45811576,1
1314508,Equipment Use,WV,11/7/2005,11/7/2005,2005,0.3,37.86889643,-81.19012332,0
1314509,Equipment Use,WV,11/7/2005,11/7/2005,2005,0.2,37.86876055,-81.19054364,0
1314510,Debris Burning,WV,11/9/2005,11/9/2005,2005,20,37.44606779,-81.8610191,0
1314511,Debris Burning,WV,11/10/2005,11/10/2005,2005,0.1,37.29318335,-81.20679579,0
1314512,Powerline,WV,11/10/2005,11/11/2005,2005,157,37.48666719,-81.84313819,1
1314513,Arson,WV,11/11/2005,11/11/2005,2005,6,37.30841067,-81.82197134,0
1314514,Fireworks,WV,11/11/2005,11/20/2005,2005,66,37.86940624,-81.29306598,9
1314515,Children,WV,11/12/2005,11/12/2005,2005,0.2,37.7743101,-81.35777769,0
1314516,Fireworks,WV,11/12/2005,11/14/2005,2005,39,37.91054332,-81.54558257,2
1314517,Equipment Use,WV,11/13/2005,11/13/2005,2005,22,37.28674975,-81.83625452,0
